rank_accel,Character,base_accel,additional_accel,max_accel
1,Jigglypuff,0.05,0.08,0.13
2-4,Wario,0.04,0.08,0.12
2-4,Peach,0.04,0.08,0.12
2-4,Daisy,0.04,0.08,0.12
5,Palutena,0.01,0.105,0.115
6-7,Rosalina,0.01,0.1,0.11
6-7,Mega Man,0.01,0.1,0.11
8,Squirtle,0.01,0.095,0.105
9-13,Mr. Game & Watch,0.07,0.03,0.1
9-13,Pichu,0.01,0.09,0.1
9-13,Falco,0.01,0.09,0.1
9-13,Pikachu,0.01,0.09,0.1
9-13,Ness,0.01,0.09,0.1
14,Yoshi,0.03,0.068,0.098
15-19,Kirby,0.03,0.065,0.095
15-19,Zero Suit Samus,0.01,0.085,0.095
15-19,Bayonetta,0.01,0.085,0.095
15-19,Lucas,0.01,0.085,0.095
15-19,Ivysaur,0.01,0.085,0.095
20,Nana,0.0105,0.084,0.0945
21-29,Wolf,0.01,0.08,0.09
21-29,Fox,0.01,0.08,0.09
21-29,Sheik,0.01,0.08,0.09
21-29,Wii Fit Trainer,0.01,0.08,0.09
21-29,Lucario,0.01,0.08,0.09
21-29,Popo,0.01,0.08,0.09
21-29,Toon Link,0.01,0.08,0.09
21-29,Samus,0.04,0.05,0.09
21-29,Dark Samus,0.04,0.05,0.09
30,R.O.B.,0.04,0.045,0.085
31-40,Greninja,0.01,0.07,0.08
31-40,Bowser Jr.,0.01,0.07,0.08
31-40,Robin,0.01,0.07,0.08
31-40,Inkling,0.01,0.07,0.08
31-40,Mario,0.01,0.07,0.08
31-40,Duck Hunt,0.01,0.07,0.08
31-40,Marth,0.01,0.07,0.08
31-40,Lucina,0.01,0.07,0.08
31-40,Olimar,0.01,0.07,0.08
31-40,Pac-Man,0.01,0.07,0.08
41-45,Captain Falcon,0.01,0.065,0.075
41-45,Meta Knight,0.01,0.065,0.075
41-45,Pit,0.01,0.065,0.075
41-45,Dark Pit,0.01,0.065,0.075
41-45,Luigi,0,0.075,0.075
46-49,Mewtwo,0.02,0.05,0.07
46-49,Incineroar,0.01,0.06,0.07
46-49,Cloud,0.01,0.06,0.07
46-49,Ridley,0.01,0.06,0.07
50,Mii Brawler,0.01,0.058,0.068
51,Zelda,0.01,0.055,0.065
52,Hero,**,0.055,**
52,Dr. Mario,0.007648,0.053536,0.061184
53-59,Young Link,0.02,0.04,0.06
53-59,Charizard,0.01,0.05,0.06
53-59,Mii Sword Fighter,0.01,0.05,0.06
53-59,Piranha Plant,0.01,0.05,0.06
53-59,Donkey Kong,0.01,0.05,0.06
53-59,Villager,0.01,0.05,0.06
53-59,Isabelle,0.01,0.05,0.06
60,Mii Gunner,0.01,0.043,0.053
61-71,Roy,0.02,0.03,0.05
61-71,Chrom,0.02,0.03,0.05
61-71,Steve,**,**,0.05
61-71,Bowser,0.01,0.04,0.05
61-71,Shulk,0.01,0.04,0.05
61-71,King Dedede,0.01,0.04,0.05
61-71,Link,0.01,0.04,0.05
61-71,Ike,0.01,0.04,0.05
61-71,Corrin,0.01,0.04,0.05
61-71,Sonic,0.01,0.04,0.05
61-71,King K. Rool,0.01,0.04,0.05
61-71,Diddy Kong,0,0.05,0.05
72-73,Byleth,0.01,0.043,0.053
72-73,Little Mac,0.01,0.03,0.04
72-73,Ganondorf,0.01,0.03,0.04
74-75,Ryu,0.01,0.025,0.035
74-75,Ken,0.01,0.025,0.035
76-78,Snake,0.01,0.02,0.03
76-78,Richter,0.01,0.02,0.03
76-78,Simon,0.01,0.02,0.03
**,Banjo & Kazooie,**,**,0.07
