Character,Hard.Land,Soft.Land..Universal.
Mario,4,2
DK,5,2
Link,5,2
Samus,4,2
Dark Samus,4,2
Yoshi,4,2
Banjo & Kazooie,4,2
Kirby,4,2
Fox,4,2
Pikachu,4,2
Luigi,4,2
Ness,4,2
Captain Falcon,4,2
Jigglypuff,4,2
Peach,4,2
Daisy,4,2
Bowser,6,2
Ice Climbers,4,2
Sheik,4,2
Zelda,4,2
Dr. Mario,4,2
Pichu,3,2
Falco,5,2
Marth,4,2
Lucina,4,2
Young Link,4,2
Ganondorf,5,2
Hero,4,2
Mewtwo,5,2
Roy,5,2
Chrom,5,2
Mr. Game & Watch,4,2
Meta Knight,4,2
Pit,5,2
Dark Pit,5,2
Zero Suit Samus,4,2
Wario,4,2
Snake,4,2
Ike,4,2
Squirtle,4,2
Ivysaur,4,2
Charizard,5,2
Diddy Kong,4,2
Lucas,4,2
Sonic,4,2
King Dedede,6,2
Olimar,4,2
Lucario,4,2
R.O.B,4,2
Toon Link,4,2
Sephiroth,4,2
Byleth,4,2
Wolf,4,2
Villager,4,2
Mega Man,4,2
Wii Fit Trainer,4,2
Rosalina,4,2
Little Mac,4,2
Greninja,4,2
Palutena,4,2
Pac-Man,4,2
Robin,4,2
Shulk,4,2
Bowser Jr.,4,2
Duck Hunt,4,2
Ryu,4,2
Ken,4,2
Cloud,4,2
Corrin,4,2
Bayonetta,4,2
Inkling,4,2
Ridley,4,2
Simon,4,2
Richter,4,2
King K. Rool,6,2
Isabelle,4,2
Incineroar,4,2
Piranha Plant,4,2
Joker,4,2
Mii Brawler,4,2
Mii Sword Fighter,5,2
Mii Gunner,4,2
Terry,4,2
