character,score,total_players,per_played,string1,string2,string3
Cloud,448,190,3.66,101,56,33
Bayonetta,290,151,2.91,26,87,38
Terry,276,135,2.6,46,49,40
Joker,234,114,2.2,43,34,37
Ganondorf,224,109,2.1,36,43,30
Young Link,213,129,2.48,26,32,71
Snake,199,97,1.87,39,24,34
Marth,196,94,1.81,31,40,23
Inkling,194,95,1.83,35,29,31
Roy,193,95,1.83,26,46,23
Link,187,93,1.79,33,28,32
Chrom,184,91,1.75,32,29,30
Hero,182,93,1.79,30,29,34
Banjo & Kazooie,180,83,1.6,32,33,18
Ike,177,87,1.68,31,28,28
Byleth,175,85,1.64,33,24,28
Falco,173,84,1.62,30,29,25
Palutena,173,82,1.58,31,29,22
Wolf,169,86,1.66,27,29,30
Ridley,169,81,1.56,31,26,24
Incineroar,168,84,1.62,29,26,29
Captain Falcon,167,80,1.54,29,29,22
Corrin,162,73,1.41,34,21,18
Robin,161,76,1.46,29,27,20
Sonic,160,81,1.56,26,27,28
Min Min,160,74,1.43,30,26,18
Zelda,159,75,1.44,30,24,21
Ness,159,80,1.54,24,31,25
Pichu,158,77,1.48,27,27,23
Pikachu,158,82,1.58,22,32,28
Kirby,158,67,1.29,35,21,11
Ken,157,89,1.71,20,28,41
Ryu,157,77,1.48,24,32,21
Lucina,156,76,1.46,30,20,26
Ice Climbers,155,77,1.48,24,30,23
Isabelle,155,77,1.48,29,20,28
Wii Fit Trainer,155,74,1.43,31,19,24
Sheik,155,79,1.52,29,18,32
Peach,154,75,1.44,25,29,21
Daisy,154,75,1.44,25,29,21
Jigglypuff,154,83,1.6,27,17,39
Fox,154,79,1.52,24,27,28
Bowser,153,72,1.39,30,21,21
Yoshi,153,69,1.33,31,22,16
Mewtwo,151,79,1.52,19,34,26
Simon,149,74,1.43,23,29,22
Richter,149,74,1.43,23,29,22
Pokemon Trainer,147,75,1.44,24,24,27
King Dedede,141,67,1.29,28,18,21
Mario,141,73,1.41,20,28,25
Zero Suit Samus,134,66,1.27,24,20,22
King K. Rool,131,70,1.35,19,23,28
Samus,117,55,1.06,22,18,15
Dark Samus,117,55,1.06,22,18,15
Sephiroth,102,46,0.89,19,18,9
Mr. Game & Watch,93,42,0.81,20,11,11
Donkey Kong,90,45,0.87,12,21,12
Greninja,81,41,0.79,15,10,16
Little Mac,79,37,0.71,16,10,11
Piranha Plant,75,39,0.75,14,8,17
Lucario,74,39,0.75,12,11,16
Luigi,68,33,0.64,11,13,9
Mega Man,65,30,0.58,12,11,7
R.O.B,63,30,0.58,13,7,10
Lucas,56,26,0.5,10,10,6
Mii Brawler,56,28,0.54,10,8,10
Pit,56,26,0.5,12,6,8
Dark Pit,56,26,0.5,12,6,8
Toon Link,55,29,0.56,9,8,12
Pac-Man,53,24,0.46,10,9,5
Shulk,53,29,0.56,9,6,14
Dr. Mario,47,25,0.48,5,12,8
Rosalina,46,23,0.44,9,5,9
Bowser Jr.,45,19,0.37,11,4,4
Duck Hunt,45,24,0.46,7,7,10
Wario,44,22,0.42,7,8,7
Mii Gunner,44,21,0.4,8,7,6
Meta Knight,42,21,0.4,4,13,4
Villager,42,19,0.37,9,5,5
Mii Sword Fighter,31,16,0.31,4,7,5
Diddy Kong,29,16,0.31,3,7,6
Olimar,24,12,0.23,3,6,3
Pyra,21,12,0.23,4,1,7
Mythra,21,12,0.23,4,1,7
Steve,15,9,0.17,2,2,5
